ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
17346,Problème de dépendance,JD,TD_w_s5_17h15 TD_m_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Lundi,,CDAM,
17348,Problème de dépendance,JD,TD_w_s5_17h15 TD_w_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi,,CDAM,
17350,Problème de dépendance,JD,TD_w_s5_17h15 TD_th_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Jeudi,,CDAM,
17352,Problème de dépendance,JD,TD_w_s5_17h15 TD_f_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Vendredi,,CDAM,
17359,Problème de dépendance,JD,TD_w_s5_11h TD_th_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Jeudi,,CDAM,
17360,Problème de dépendance,JD,TD_w_s5_11h TD_th_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Jeudi,,CDAM,
17573,Problème de dépendance,JD,TD_tu_s5_11h TD_m_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi Lundi,,CDAM,
17579,Problème de dépendance,JD,TD_tu_s5_11h TD_f_s5_15h45,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi Vendredi,,CDAM,
17581,Problème de dépendance,JD,TD_tu_s5_11h TD_f_s5_8h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi Vendredi,,CDAM,
17583,Problème de dépendance,JD,TD_tu_s5_11h TD_tu_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi,,CDAM,
17585,Problème de dépendance,JD,TD_tu_s5_11h TD_w_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi Mercredi,,CDAM,
17591,Problème de dépendance,JD,TD_tu_s5_11h TD_tu_s5_8h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi,,CDAM,
23397,Problème de dépendance,AP JD,CM_tu_s5_14h15 TD_tu_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi,,CDAM,
23600,Problème de dépendance,AP JD,CM_f_s5_15h45 TD_tu_s5_9h30,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mardi,,CDAM,
23603,Problème de dépendance,AP JD,CM_f_s5_15h45 TD_m_s5_14h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Lundi,,CDAM,
23758,Problème de dépendance,AP JD,CM_th_s5_14h15 TD_tu_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi Mardi,,CDAM,
23780,Problème de dépendance,AP JD,CM_th_s5_15h45 TD_m_s5_11h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi Lundi,,CDAM,
23808,Problème de dépendance,AP JD,CM_f_s5_8h TD_th_s5_15h45,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Jeudi,,CDAM,
23833,Problème de dépendance,AP JD,CM_th_s5_17h15 TD_th_s5_15h45,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi,,CDAM,
23835,Problème de dépendance,AP JD,CM_th_s5_17h15 TD_th_s5_9h30,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi,,CDAM,
23842,Problème de dépendance,AP JD,CM_th_s5_17h15 TD_m_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi Lundi,,CDAM,
23855,Problème de dépendance,AP JD,CM_tu_s5_14h15 TD_m_s5_9h30,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi Lundi,,CDAM,
23882,Problème de dépendance,AP JD,CM_w_s5_9h30 TD_m_s5_9h30,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mercredi Lundi,,CDAM,
23892,Problème de dépendance,AP JD,CM_w_s5_9h30 TD_tu_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mercredi Mardi,,CDAM,
23909,Problème de dépendance,AP JD,CM_f_s5_17h15 TD_tu_s5_14h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mardi,,CDAM,
23936,Problème de dépendance,AP JD,CM_th_s5_8h TD_tu_s5_17h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi Mardi,,CDAM,
23955,Problème de dépendance,AP JD,CM_tu_s5_17h15 TD_m_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi Lundi,,CDAM,
23961,Problème de dépendance,AP JD,CM_w_s5_17h15 TD_m_s5_15h45,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mercredi Lundi,,CDAM,
23973,Problème de dépendance,AP JD,CM_w_s5_17h15 TD_w_s5_17h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mercredi,,CDAM,
23997,Problème de dépendance,AP JD,CM_f_s5_14h15 TD_tu_s5_17h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mardi,,CDAM,
24005,Problème de dépendance,AP JD,CM_f_s5_14h15 TD_tu_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mardi,,CDAM,
24019,Problème de dépendance,AP JD,CM_th_s5_11h TD_m_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Jeudi Lundi,,CDAM,
24037,Problème de dépendance,AP JD,CM_tu_s5_11h TD_m_s5_11h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi Lundi,,CDAM,
24057,Problème de dépendance,AP JD,CM_f_s5_15h45 TD_th_s5_11h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Jeudi,,CDAM,
24092,Problème de dépendance,AP JD,CM_tu_s5_15h45 TD_tu_s5_9h30,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi,,CDAM,
24095,Problème de dépendance,AP JD,CM_tu_s5_15h45 TD_m_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi Lundi,,CDAM,
24104,Problème de dépendance,AP JD,CM_f_s5_9h30 TD_tu_s5_15h45,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mardi,,CDAM,
24119,Problème de dépendance,AP JD,CM_f_s5_9h30 TD_w_s5_17h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mercredi,,CDAM,
24148,Problème de dépendance,AP JD,CM_tu_s5_8h TD_m_s5_17h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mardi Lundi,,CDAM,
24159,Problème de dépendance,AP JD,CM_w_s5_8h TD_tu_s5_17h15,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Mercredi Mardi,,CDAM,
24176,Problème de dépendance,AP JD,CM_f_s5_11h TD_th_s5_8h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Jeudi,,CDAM,
24202,Problème de dépendance,AP JD,CM_f_s5_11h TD_tu_s5_11h,CM-CDAM-AP-CE TD-CDAM-JD-2,5,,CE 2,Vendredi Mardi,,CDAM,
34763,Le cours doit avoir un professeur,JD,TD_th_s5_8h,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34764,Le cours doit avoir un professeur,JD,TD_f_s5_17h15,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34765,Le cours doit avoir un professeur,JD,TD_th_s5_17h15,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34766,Le cours doit avoir un professeur,JD,TD_th_s5_11h,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34767,Le cours doit avoir un professeur,JD,TD_m_s5_15h45,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34768,Le cours doit avoir un professeur,JD,TD_tu_s5_15h45,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34769,Le cours doit avoir un professeur,JD,TD_th_s5_15h45,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34771,Le cours doit avoir un professeur,JD,TD_f_s5_9h30,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34774,Le cours doit avoir un professeur,JD,TD_tu_s5_9h30,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34775,Le cours doit avoir un professeur,JD,TD_w_s5_9h30,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34776,Le cours doit avoir un professeur,JD,TD_w_s5_14h15,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34777,Le cours doit avoir un professeur,JD,TD_m_s5_14h15,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34778,Le cours doit avoir un professeur,JD,TD_tu_s5_14h15,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34780,Le cours doit avoir un professeur,JD,TD_m_s5_8h,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34781,Le cours doit avoir un professeur,JD,TD_f_s5_8h,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34783,Le cours doit avoir un professeur,JD,TD_tu_s5_17h15,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34785,Le cours doit avoir un professeur,JD,TD_w_s5_11h,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34786,Le cours doit avoir un professeur,JD,TD_th_s5_14h15,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34787,Le cours doit avoir un professeur,JD,TD_w_s5_8h,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34788,Le cours doit avoir un professeur,JD,TD_f_s5_11h,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34789,Le cours doit avoir un professeur,JD,TD_m_s5_11h,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34790,Le cours doit avoir un professeur,JD,TD_f_s5_14h15,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34791,Le cours doit avoir un professeur,JD,TD_tu_s5_8h,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34793,Le cours doit avoir un professeur,JD,TD_th_s5_8h,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34794,Le cours doit avoir un professeur,JD,TD_f_s5_17h15,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34795,Le cours doit avoir un professeur,JD,TD_th_s5_17h15,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34796,Le cours doit avoir un professeur,JD,TD_th_s5_11h,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34797,Le cours doit avoir un professeur,JD,TD_m_s5_15h45,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34798,Le cours doit avoir un professeur,JD,TD_tu_s5_15h45,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34799,Le cours doit avoir un professeur,JD,TD_th_s5_15h45,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34801,Le cours doit avoir un professeur,JD,TD_f_s5_9h30,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34804,Le cours doit avoir un professeur,JD,TD_tu_s5_9h30,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34805,Le cours doit avoir un professeur,JD,TD_w_s5_9h30,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34806,Le cours doit avoir un professeur,JD,TD_w_s5_14h15,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34807,Le cours doit avoir un professeur,JD,TD_m_s5_14h15,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34809,Le cours doit avoir un professeur,JD,TD_f_s5_15h45,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34811,Le cours doit avoir un professeur,JD,TD_f_s5_8h,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34813,Le cours doit avoir un professeur,JD,TD_tu_s5_17h15,TD-CDAM-JD-2,5,,2,Mardi,,CDAM,
34815,Le cours doit avoir un professeur,JD,TD_w_s5_11h,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34816,Le cours doit avoir un professeur,JD,TD_th_s5_14h15,TD-CDAM-JD-2,5,,2,Jeudi,,CDAM,
34817,Le cours doit avoir un professeur,JD,TD_w_s5_8h,TD-CDAM-JD-2,5,,2,Mercredi,,CDAM,
34818,Le cours doit avoir un professeur,JD,TD_f_s5_11h,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
34819,Le cours doit avoir un professeur,JD,TD_m_s5_11h,TD-CDAM-JD-2,5,,2,Lundi,,CDAM,
34820,Le cours doit avoir un professeur,JD,TD_f_s5_14h15,TD-CDAM-JD-2,5,,2,Vendredi,,CDAM,
41148,Pas de professeur disponible,JD,CM_f_s5_9h30,,5,,,Vendredi,,,
41152,Pas de professeur disponible,JD,DS_tu_s5_17h15,,5,,,Mardi,,,
41161,Pas de professeur disponible,JD,CM_w_s5_9h30,,5,,,Mercredi,,,
41162,Pas de professeur disponible,JD,TD_f_s5_14h15,,5,,,Vendredi,,,
41163,Pas de professeur disponible,JD,CM_tu_s5_9h30,,5,,,Mardi,,,
41169,Pas de professeur disponible,JD,DS_f_s5_8h,,5,,,Vendredi,,,
41170,Pas de professeur disponible,JD,TD_th_s5_8h,,5,,,Jeudi,,,
41172,Pas de professeur disponible,JD,TD_f_s5_17h15,,5,,,Vendredi,,,
41173,Pas de professeur disponible,JD,CM_m_s5_14h15,,5,,,Lundi,,,
41176,Pas de professeur disponible,JD,DS_th_s5_9h30,,5,,,Jeudi,,,
41186,Pas de professeur disponible,JD,DS_tu_s5_14h15,,5,,,Mardi,,,
41187,Pas de professeur disponible,JD,TP_m_s5_14h15,,5,,,Lundi,,,
41188,Pas de professeur disponible,JD,TP_tu_s5_14h15,,5,,,Mardi,,,
41189,Pas de professeur disponible,JD,TP_w_s5_14h15,,5,,,Mercredi,,,
41192,Pas de professeur disponible,JD,TD_tu_s5_15h45,,5,,,Mardi,,,
41212,Pas de professeur disponible,JD,TP_th_s5_11h,,5,,,Jeudi,,,
41213,Pas de professeur disponible,JD,DS_tu_s5_15h45,,5,,,Mardi,,,
41214,Pas de professeur disponible,JD,DS_m_s5_11h,,5,,,Lundi,,,
41224,Pas de professeur disponible,JD,CM_m_s5_15h45,,5,,,Lundi,,,
41225,Pas de professeur disponible,JD,CM_tu_s5_15h45,,5,,,Mardi,,,
41226,Pas de professeur disponible,JD,CM_w_s5_15h45,,5,,,Mercredi,,,
41227,Pas de professeur disponible,JD,TD_f_s5_15h45,,5,,,Vendredi,,,
41228,Pas de professeur disponible,JD,TD_f_s5_8h,,5,,,Vendredi,,,
41236,Pas de professeur disponible,JD,CM_tu_s5_8h,,5,,,Mardi,,,
6890,Pas plus d'un cours par créneau,,DS_tu_s5_8h,,5,,2A,Mardi,,,
7290,Pas plus d'un cours par créneau,,CM_f_s5_14h15,,5,,2B,Vendredi,,,
7443,Pas plus d'un cours par créneau,,TD_w_s5_14h15,,5,,2A,Mercredi,,,
7577,Pas plus d'un cours par créneau,,CM_f_s5_11h,,5,,2B,Vendredi,,,
7611,Le cours doit être placé,JD,,TD-CDAM-JD-2,,,2,,,CDAM,
7612,Le cours doit être placé,JD,,TD-CDAM-JD-2,,,2,,,CDAM,
7662,Le cours doit être placé,AP,,CM-CDAM-AP-CE,,,CE,,,CDAM,
